1.150,=(60*46)+25-((60*46)+24)
1.193,=(60*46)+26-((60*46)+24)
1.269,=(60*46)+26-((60*46)+24)
1.209,=(60*46)+27-((60*46)+24)
1.153,=(60*46)+28-((60*46)+24)
1.242,=(60*46)+29-((60*46)+24)
1.335,=(60*46)+30-((60*46)+24)
1.243,=(60*46)+31-((60*46)+24)
1.318,=(60*46)+32-((60*46)+24)
1.408,=(60*46)+33-((60*46)+24)
1.234,=(60*46)+34-((60*46)+24)
1.057,=(60*46)+35-((60*46)+24)
1.182,=(60*46)+36-((60*46)+24)
1.172,=(60*46)+37-((60*46)+24)
1.225,=(60*46)+38-((60*46)+24)
1.276,=(60*46)+39-((60*46)+24)
1.178,=(60*46)+40-((60*46)+24)
1.266,=(60*46)+41-((60*46)+24)
1.334,=(60*46)+42-((60*46)+24)
1.182,=(60*46)+43-((60*46)+24)
1.138,=(60*46)+43-((60*46)+24)
1.221,=(60*46)+44-((60*46)+24)
1.181,=(60*46)+45-((60*46)+24)
1.201,=(60*46)+46-((60*46)+24)
1.169,=(60*46)+47-((60*46)+24)
1.171,=(60*46)+48-((60*46)+24)
1.224,=(60*46)+49-((60*46)+24)
1.197,=(60*46)+50-((60*46)+24)
1.229,=(60*46)+51-((60*46)+24)
1.208,=(60*46)+52-((60*46)+24)
1.185,=(60*46)+53-((60*46)+24)
1.169,=(60*46)+54-((60*46)+24)
1.229,=(60*46)+55-((60*46)+24)
1.157,=(60*46)+56-((60*46)+24)
1.124,=(60*46)+57-((60*46)+24)
1.206,=(60*46)+58-((60*46)+24)
1.165,=(60*46)+58-((60*46)+24)
1.190,=(60*46)+59-((60*46)+24)
1.206,=(60*47)+00-((60*46)+24)
1.181,=(60*47)+01-((60*46)+24)
1.146,=(60*47)+02-((60*46)+24)
1.168,=(60*47)+03-((60*46)+24)
1.173,=(60*47)+04-((60*46)+24)
1.133,=(60*47)+05-((60*46)+24)
1.134,=(60*47)+05-((60*46)+24)
1.141,=(60*47)+06-((60*46)+24)
1.107,=(60*47)+07-((60*46)+24)
1.229,=(60*47)+08-((60*46)+24)
1.214,=(60*47)+09-((60*46)+24)
1.066,=(60*47)+10-((60*46)+24)
1.191,=(60*47)+11-((60*46)+24)
1.140,=(60*47)+11-((60*46)+24)
1.107,=(60*47)+12-((60*46)+24)
1.205,=(60*47)+13-((60*46)+24)
1.090,=(60*47)+14-((60*46)+24)
1.198,=(60*47)+15-((60*46)+24)
1.296,=(60*47)+16-((60*46)+24)
1.029,=(60*47)+17-((60*46)+24)
1.060,=(60*47)+18-((60*46)+24)
1.180,=(60*47)+19-((60*46)+24)
1.090,=(60*47)+20-((60*46)+24)
1.201,=(60*47)+21-((60*46)+24)
1.183,=(60*47)+22-((60*46)+24)
1.049,=(60*47)+23-((60*46)+24)
1.193,=(60*47)+24-((60*46)+24)
1.176,=(60*47)+25-((60*46)+24)
1.041,=(60*47)+26-((60*46)+24)
1.082,=(60*47)+27-((60*46)+24)
1.149,=(60*47)+28-((60*46)+24)
1.107,=(60*47)+28-((60*46)+24)
1.202,=(60*47)+29-((60*46)+24)
1.295,=(60*47)+30-((60*46)+24)
1.017,=(60*47)+31-((60*46)+24)
1.048,=(60*47)+32-((60*46)+24)
1.157,=(60*47)+33-((60*46)+24)
1.046,=(60*47)+34-((60*46)+24)
1.069,=(60*47)+35-((60*46)+24)
1.181,=(60*47)+36-((60*46)+24)
1.054,=(60*47)+37-((60*46)+24)
1.095,=(60*47)+38-((60*46)+24)
1.133,=(60*47)+39-((60*46)+24)
1.054,=(60*47)+40-((60*46)+24)
1.224,=(60*47)+41-((60*46)+24)
1.170,=(60*47)+42-((60*46)+24)
1.054,=(60*47)+43-((60*46)+24)
1.140,=(60*47)+43-((60*46)+24)
1.120,=(60*47)+44-((60*46)+24)
1.025,=(60*47)+45-((60*46)+24)
1.112,=(60*47)+46-((60*46)+24)
1.131,=(60*47)+47-((60*46)+24)
1.028,=(60*47)+48-((60*46)+24)
1.089,=(60*47)+49-((60*46)+24)
1.125,=(60*47)+50-((60*46)+24)
1.077,=(60*47)+51-((60*46)+24)
1.137,=(60*47)+52-((60*46)+24)
1.069,=(60*47)+53-((60*46)+24)
1.081,=(60*47)+54-((60*46)+24)
1.118,=(60*47)+55-((60*46)+24)
1.107,=(60*47)+56-((60*46)+24)
1.043,=(60*47)+57-((60*46)+24)
1.034,=(60*47)+58-((60*46)+24)
1.077,=(60*47)+58-((60*46)+24)
1.092,=(60*47)+59-((60*46)+24)
1.038,=(60*48)+00-((60*46)+24)
1.071,=(60*48)+01-((60*46)+24)
1.079,=(60*48)+02-((60*46)+24)
0.999,=(60*48)+03-((60*46)+24)
1.065,=(60*48)+04-((60*46)+24)
1.137,=(60*48)+05-((60*46)+24)
1.023,=(60*48)+05-((60*46)+24)
1.057,=(60*48)+06-((60*46)+24)
1.094,=(60*48)+07-((60*46)+24)
1.027,=(60*48)+08-((60*46)+24)
1.030,=(60*48)+09-((60*46)+24)
1.038,=(60*48)+10-((60*46)+24)
0.999,=(60*48)+11-((60*46)+24)
1.019,=(60*48)+12-((60*46)+24)
1.016,=(60*48)+12-((60*46)+24)
0.987,=(60*48)+13-((60*46)+24)
1.036,=(60*48)+14-((60*46)+24)
0.972,=(60*48)+15-((60*46)+24)
1.055,=(60*48)+16-((60*46)+24)
1.068,=(60*48)+17-((60*46)+24)
1.080,=(60*48)+18-((60*46)+24)
1.069,=(60*48)+19-((60*46)+24)
1.028,=(60*48)+20-((60*46)+24)
1.028,=(60*48)+21-((60*46)+24)
0.958,=(60*48)+22-((60*46)+24)
1.058,=(60*48)+23-((60*46)+24)
1.031,=(60*48)+24-((60*46)+24)
1.053,=(60*48)+25-((60*46)+24)
0.975,=(60*48)+26-((60*46)+24)
1.090,=(60*48)+27-((60*46)+24)
1.156,=(60*48)+27-((60*46)+24)
0.996,=(60*48)+28-((60*46)+24)
1.056,=(60*48)+29-((60*46)+24)
1.037,=(60*48)+30-((60*46)+24)
1.047,=(60*48)+31-((60*46)+24)
1.042,=(60*48)+32-((60*46)+24)
0.973,=(60*48)+33-((60*46)+24)
0.951,=(60*48)+34-((60*46)+24)
0.967,=(60*48)+35-((60*46)+24)
1.072,=(60*48)+36-((60*46)+24)
1.064,=(60*48)+37-((60*46)+24)
1.032,=(60*48)+38-((60*46)+24)
1.054,=(60*48)+39-((60*46)+24)
1.061,=(60*48)+40-((60*46)+24)
1.012,=(60*48)+41-((60*46)+24)
1.094,=(60*48)+42-((60*46)+24)
1.006,=(60*48)+43-((60*46)+24)
0.977,=(60*48)+44-((60*46)+24)
1.044,=(60*48)+44-((60*46)+24)
1.008,=(60*48)+45-((60*46)+24)
0.962,=(60*48)+46-((60*46)+24)
0.960,=(60*48)+47-((60*46)+24)
1.045,=(60*48)+48-((60*46)+24)
1.072,=(60*48)+49-((60*46)+24)
1.033,=(60*48)+50-((60*46)+24)
1.062,=(60*48)+51-((60*46)+24)
1.029,=(60*48)+52-((60*46)+24)
1.028,=(60*48)+53-((60*46)+24)
0.971,=(60*48)+54-((60*46)+24)
0.929,=(60*48)+55-((60*46)+24)
0.975,=(60*48)+56-((60*46)+24)
0.973,=(60*48)+57-((60*46)+24)
1.025,=(60*48)+58-((60*46)+24)
1.058,=(60*48)+59-((60*46)+24)
1.014,=(60*48)+59-((60*46)+24)
1.033,=(60*49)+00-((60*46)+24)
1.063,=(60*49)+01-((60*46)+24)
0.951,=(60*49)+02-((60*46)+24)
0.883,=(60*49)+03-((60*46)+24)
0.889,=(60*49)+04-((60*46)+24)
0.924,=(60*49)+05-((60*46)+24)
1.004,=(60*49)+05-((60*46)+24)
1.039,=(60*49)+06-((60*46)+24)
1.006,=(60*49)+07-((60*46)+24)
1.024,=(60*49)+08-((60*46)+24)
0.928,=(60*49)+09-((60*46)+24)
1.003,=(60*49)+10-((60*46)+24)
1.005,=(60*49)+11-((60*46)+24)
1.009,=(60*49)+11-((60*46)+24)
0.931,=(60*49)+12-((60*46)+24)
0.897,=(60*49)+13-((60*46)+24)
1.109,=(60*49)+14-((60*46)+24)
1.039,=(60*49)+15-((60*46)+24)
1.008,=(60*49)+16-((60*46)+24)
1.009,=(60*49)+17-((60*46)+24)
0.960,=(60*49)+18-((60*46)+24)
1.020,=(60*49)+19-((60*46)+24)
1.047,=(60*49)+20-((60*46)+24)
1.044,=(60*49)+21-((60*46)+24)
0.989,=(60*49)+22-((60*46)+24)
1.004,=(60*49)+23-((60*46)+24)
1.132,=(60*49)+24-((60*46)+24)
1.002,=(60*49)+25-((60*46)+24)
0.927,=(60*49)+26-((60*46)+24)
0.970,=(60*49)+27-((60*46)+24)
1.032,=(60*49)+28-((60*46)+24)
0.983,=(60*49)+28-((60*46)+24)
0.987,=(60*49)+29-((60*46)+24)
0.901,=(60*49)+30-((60*46)+24)
0.946,=(60*49)+31-((60*46)+24)
0.904,=(60*49)+32-((60*46)+24)
0.971,=(60*49)+33-((60*46)+24)
1.130,=(60*49)+34-((60*46)+24)
1.025,=(60*49)+35-((60*46)+24)
1.025,=(60*49)+36-((60*46)+24)
1.022,=(60*49)+37-((60*46)+24)
0.972,=(60*49)+38-((60*46)+24)
0.893,=(60*49)+39-((60*46)+24)
0.988,=(60*49)+40-((60*46)+24)
1.037,=(60*49)+41-((60*46)+24)
0.984,=(60*49)+42-((60*46)+24)
1.121,=(60*49)+42-((60*46)+24)
1.025,=(60*49)+43-((60*46)+24)
0.970,=(60*49)+44-((60*46)+24)
0.953,=(60*49)+45-((60*46)+24)
0.950,=(60*49)+46-((60*46)+24)
0.957,=(60*49)+47-((60*46)+24)
0.949,=(60*49)+48-((60*46)+24)
0.954,=(60*49)+49-((60*46)+24)
